feature,spearman_revenue,spearman_residual_z
units,0.9080955403829051,0.7997410758530656
orders_count,0.9233205141952813,0.7821660847349918
gross_before_discount,0.9999999999999998,0.7486081827802311
orders_per_1000_sessions,0.6016138582284147,0.7445691638382398
is_payday_window,0.29703151556479535,0.3722271516997898
top_product_revenue_share,0.2991753938688098,0.20128187527475996
sessions,0.332316834582504,-0.19466058827936553
active_sku_days,0.14636241361521746,0.18574310179150288
stockout_sku_days,0.14622900655723906,0.18573172462051188
stockout_rate,0.1446649773406057,0.18493192123724214
is_month_end,0.14420255580566826,0.1845247323659704
fill_rate,0.14287124479065919,0.18332719620615848
stock_pressure_index,0.1417023946898756,0.17784685788680418
expected_lost_sales_index,0.6033677206618093,0.15017555726100404
expected_orders_per_1000_sessions,0.10695985695169478,0.14746676456589888
is_month_start,0.10317149916518993,0.13443974173747525
rev_to_cogs_ratio,0.17135184166028436,0.09961176434412441
gross_margin_rate,0.17135184166028436,0.09961176434412441
is_year_end_window,-0.11491557430124852,0.09611846746575098
is_new_year_window,-0.14863086624052257,-0.07537912546567241
discount_amount,0.017945687561079723,0.062150835719742926
avg_promo_discount_value,-0.16804310650337176,-0.060799097093845116
promo_discount_value,-0.16760884337458742,-0.060285305277347656
promo_impact_score,-0.1624804257087137,-0.056813770583785256
promo_order_share,-0.11357887240525458,-0.053594892893563166
promo_margin_pressure,-0.12500318163399793,-0.047384868673534385
promo_flag,-0.09968767988509493,-0.044418317704421305
promo_margin_pressure_actual,-0.14114186061539385,-0.043872742001069887
revenue_shock_7d,-0.033694894949932684,-0.04322862672695421
cogs_shock_7d,-0.03234367218214037,-0.04118434053423982
active_promo_count,-0.09595081771851356,-0.040156774611003095
promo_discount_rate,-0.14942972404768745,-0.0397177840878589
is_holiday,-0.06210978627850657,0.03055459091995327
is_1111_1212,-0.06041386450143096,0.01189645429279997
is_lunar_holiday,-0.023054864759810948,0.010777809860941996
is_tet_window,-0.04292555773695257,0.009574929210633628
is_double_day_sale,-0.06478891953039326,-0.00840103484258302
cancel_rate,0.03827844303263897,0.006582024089870272
is_black_friday_window,-0.05449295620636924,0.006111309853155541
is_hung_kings_day,0.048066361427970966,0.0050705714827832754
cod_order_share,0.006048663181197642,-0.0033414054799486437
